                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.52415,                0.26347,                0.99202,                0.94579,                0.91351,                0.96266,                 0.8426,                0.60934,                0.38941,                 1.0594,               0.004555,               0.004555,               0.004555
                     46,                0.51612,                0.25969,                0.99172,                 0.9488,                0.90985,                0.96174,                0.84436,                0.61074,                0.40706,                 1.0636,              0.0044313,              0.0044313,              0.0044313
                     47,                0.51117,                0.25596,                0.98783,                0.95652,                0.90227,                0.96397,                0.84403,                0.60428,                0.39524,                 1.0674,              0.0043075,              0.0043075,              0.0043075
                     48,                0.51895,                 0.2594,                0.98526,                0.94333,                0.91335,                0.96216,                0.84173,                 0.6137,                0.40168,                 1.0608,              0.0041837,              0.0041837,              0.0041837
                     49,                0.52542,                0.26166,                0.99631,                0.95774,                0.90358,                0.96226,                0.84467,                 0.6052,                 0.4031,                 1.0628,                0.00406,                0.00406,                0.00406
                     50,                0.51954,                0.25787,                 0.9883,                0.94427,                0.91197,                0.96273,                 0.8443,                0.61119,                0.40651,                 1.0383,              0.0039362,              0.0039362,              0.0039362
                     51,                0.51082,                0.25608,                0.98931,                0.93847,                0.91638,                0.96422,                0.84474,                0.61044,                0.39809,                 1.0697,              0.0038125,              0.0038125,              0.0038125
                     52,                0.50726,                0.25344,                0.99288,                0.94662,                0.90776,                0.96329,                0.84412,                 0.6049,                 0.4104,                 1.0933,              0.0036888,              0.0036888,              0.0036888
                     53,                0.50429,                0.25097,                0.99058,                0.95616,                0.90038,                0.96073,                0.84231,                0.61163,                 0.4144,                 1.1056,               0.003565,               0.003565,               0.003565
                     54,                0.49883,                0.24774,                0.98648,                0.94208,                0.91299,                0.96133,                0.84345,                 0.6008,                0.41739,                 1.1125,              0.0034413,              0.0034413,              0.0034413
                     55,                 0.4934,                0.24678,                0.97754,                0.94596,                0.91027,                0.96078,                 0.8442,                0.59533,                0.40868,                 1.0832,              0.0033175,              0.0033175,              0.0033175
                     56,                0.48836,                0.24282,                0.97982,                0.95116,                0.90645,                0.96098,                0.84481,                0.59854,                0.41088,                 1.1014,              0.0031938,              0.0031938,              0.0031938
                     57,                0.48395,                0.24136,                0.97855,                 0.9579,                0.90359,                0.96079,                0.84336,                0.59972,                0.41521,                 1.1029,                0.00307,                0.00307,                0.00307
                     58,                0.47675,                0.23893,                  0.978,                0.94763,                0.91168,                0.96029,                0.84545,                0.59354,                0.40853,                 1.1065,              0.0029462,              0.0029462,              0.0029462
                     59,                 0.4725,                0.23601,                0.97123,                0.95833,                0.90201,                0.95974,                0.84418,                0.59573,                 0.4049,                 1.0988,              0.0028225,              0.0028225,              0.0028225
                     60,                0.44297,                0.22124,                0.95788,                0.95319,                0.90489,                 0.9569,                0.84247,                0.59196,                0.41098,                 1.1014,              0.0026987,              0.0026987,              0.0026987
                     61,                0.44703,                0.22272,                0.96104,                0.94756,                0.90907,                0.95698,                0.84412,                0.59156,                0.41386,                 1.0923,               0.002575,               0.002575,               0.002575
                     62,                 0.4417,                0.22124,                0.95404,                0.94776,                 0.9102,                0.95823,                0.84385,                0.59261,                0.41571,                 1.0813,              0.0024513,              0.0024513,              0.0024513
                     63,                0.43804,                0.21933,                0.95653,                0.95546,                0.90255,                0.95805,                0.84435,                0.59426,                0.41523,                 1.0974,              0.0023275,              0.0023275,              0.0023275
                     64,                0.43203,                0.21477,                 0.9515,                0.94371,                 0.9112,                0.95632,                0.84476,                0.59517,                0.41832,                 1.1014,              0.0022038,              0.0022038,              0.0022038
                     65,                0.42654,                0.21129,                0.94675,                0.94895,                0.90907,                0.95661,                0.84402,                0.59531,                0.40879,                 1.0987,                0.00208,                0.00208,                0.00208
                     66,                0.41927,                0.20823,                0.93613,                0.95368,                0.90392,                0.95623,                0.84298,                0.59471,                0.41137,                 1.0874,              0.0019563,              0.0019563,              0.0019563
                     67,                0.41341,                0.20539,                 0.9327,                 0.9448,                0.91246,                0.95616,                0.84276,                 0.5933,                0.41776,                 1.0855,              0.0018325,              0.0018325,              0.0018325
                     68,                0.41457,                0.20597,                 0.9345,                0.94159,                0.91401,                0.95538,                 0.8424,                0.59476,                0.41635,                 1.0856,              0.0017087,              0.0017087,              0.0017087
                     69,                0.41663,                0.20535,                0.93801,                0.94963,                0.90541,                0.95522,                0.84171,                0.59418,                0.41835,                 1.0903,               0.001585,               0.001585,               0.001585
                     70,                0.40909,                0.20181,                 0.9326,                0.94664,                0.90851,                0.95468,                0.84141,                0.59395,                0.41759,                 1.1007,              0.0014612,              0.0014612,              0.0014612
                     71,                0.37047,                0.17601,                0.90322,                0.94654,                0.90724,                0.95415,                 0.8402,                0.59561,                0.42019,                 1.1023,              0.0013375,              0.0013375,              0.0013375
                     72,                0.35838,                0.17159,                0.89453,                0.94186,                0.91019,                0.95444,                0.84072,                0.59582,                0.41777,                 1.1035,              0.0012138,              0.0012138,              0.0012138
                     73,                0.35139,                0.16764,                0.89151,                0.93904,                0.91246,                0.95449,                0.84098,                 0.5944,                0.42111,                 1.1068,                0.00109,                0.00109,                0.00109
                     74,                0.34458,                0.16429,                0.88806,                0.94181,                0.91116,                0.95332,                 0.8396,                0.59537,                0.42348,                 1.1149,             0.00096625,             0.00096625,             0.00096625
                     75,                0.33919,                0.16259,                0.88788,                0.95179,                0.90253,                0.95334,                0.84065,                0.59414,                0.41877,                 1.1191,              0.0008425,              0.0008425,              0.0008425
                     76,                0.33469,                0.16007,                0.88553,                0.95181,                0.90312,                0.95375,                0.84228,                0.59009,                0.41845,                 1.1133,             0.00071875,             0.00071875,             0.00071875
                     77,                0.32706,                0.15693,                 0.8774,                0.95338,                0.90306,                0.95366,                0.84201,                0.58848,                0.41487,                 1.1102,               0.000595,               0.000595,               0.000595
                     78,                0.32137,                0.15393,                0.87526,                0.95539,                0.90106,                 0.9533,                0.84143,                0.58909,                 0.4124,                 1.1119,             0.00047125,             0.00047125,             0.00047125
                     79,                0.31583,                0.15154,                0.87292,                0.95457,                0.90253,                0.95357,                0.84196,                0.58839,                0.41164,                 1.1125,              0.0003475,              0.0003475,              0.0003475
                     80,                0.31215,                0.14925,                0.87064,                0.95353,                0.90384,                0.95321,                0.84184,                0.58777,                0.41087,                 1.1126,             0.00022375,             0.00022375,             0.00022375
